combined,label
会员中心 BLUETOOTH_ADMIN      FLASHLIGHT      ACCESS_WIFI_STATE      BLUETOOTH      NFC      READ_PRIVILEGED_PHONE_STATE      VIBRATE      READ_EXTERNAL_STORAGE     webkit PermissionRequest      MODIFY_AUDIO_SETTINGS    andorid  CHANGE_CONFIGURATION      SYSTEM_ALERT_WINDOW      CHANGE_WIFI_STATE      CHANGE_NETWORK_STATE      CAMERA      MANAGE_NEWLANDUART3      INTERNET      MANAGE_NEWLAND      ACCESS_LOCATION_EXTRA_COMMANDS      RECORD_AUDIO      ACCESS_COARSE_LOCATION      WAKE_LOCK      WRITE_EXTERNAL_STORAGE      REQUEST_INSTALL_PACKAGES      ACCESS_NETWORK_STATE      READ_PHONE_STATE      ACCESS_FINE_LOCATION com bozhong energy 2 ['META-INF/ANDROID.RSA'],black
功夫影院 com google  c2dm  RECEIVE      CAMERA      ACCESS_COARSE_LOCATION    com chuangdun borderkeeper  PUSH_PROVIDER      ACCESS_NETWORK_STATE    com chuangdun borderkeeper  MIPUSH_RECEIVE      POST_NOTIFICATIONS    com chuangdun borderkeeper  PROCESS_PUSH_MSG      VIBRATE    com chuangdun borderkeeper AGOO      ACCESS_WIFI_STATE      RECORD_AUDIO    com chuangdun borderkeeper push  MESSAGE      READ_PRIVILEGED_PHONE_STATE    com meizu c2dm  RECEIVE    com meizu flyme push  RECEIVE      READ_EXTERNAL_STORAGE    com heytap mcs  RECIEVE_MCS_MESSAGE      CHANGE_WIFI_STATE      RECEIVE_BOOT_COMPLETED    com coloros mcs  RECIEVE_MCS_MESSAGE      MODIFY_AUDIO_SETTINGS      WRITE_EXTERNAL_STORAGE      GET_TASKS      ACCESS_BACKGROUND_LOCATION    com meizu flyme  PUSH      ACCESS_FINE_LOCATION    com hihonor push  READ_PUSH_NOTIFICATION_INFO      REQUEST_INSTALL_PACKAGES    com chuangdun borderkeeper ACCS      READ_PHONE_STATE      REORDER_TASKS      MOUNT_UNMOUNT_FILESYSTEMS      INTERNET      FOREGROUND_SERVICE      BLUETOOTH      GET_ACCOUNTS      WAKE_LOCK com metanet house 2734 ['META-INF/METANET_.RSA'],black
花小猪打车 CALL_PHONE      READ_LOGS      RECEIVE_BOOT_COMPLETED      FLASHLIGHT      WRITE_SETTINGS      ACCESS_WIFI_STATE      RECEIVE_USER_PRESENT    com dfgsdswf shengdeng  JPUSH_MESSAGE      VIBRATE      FOREGROUND_SERVICE      READ_EXTERNAL_STORAGE      SYSTEM_ALERT_WINDOW      CHANGE_WIFI_STATE      CHANGE_NETWORK_STATE      CAMERA      MOUNT_UNMOUNT_FILESYSTEMS      INTERNET      INSTALL_PACKAGES      ACCESS_LOCATION_EXTRA_COMMANDS      ACCESS_COARSE_LOCATION      WAKE_LOCK      WRITE_EXTERNAL_STORAGE      GET_TASKS      REQUEST_INSTALL_PACKAGES      ACCESS_BACKGROUND_LOCATION      ACCESS_NETWORK_STATE      READ_PHONE_STATE      ACCESS_FINE_LOCATION com yw game floatmenu demoXyz 1 ['META-INF/KEY0.RSA'],black
迅捷WiFi ACCESS_NETWORK_STATE      BROADCAST_STICKY      VIBRATE      GET_TASKS      ACCESS_BACKGROUND_LOCATION      ACCESS_LOCATION_EXTRA_COMMANDS      DOWNLOAD_WITHOUT_NOTIFICATION    com asus msa SupplementaryDID ACCESS      REQUEST_INSTALL_PACKAGES    freemme  msa    com huawei appmarket service commondata  GET_COMMON_DATA      CAMERA      BLUETOOTH_ADMIN      BLUETOOTH      MOUNT_UNMOUNT_FILESYSTEMS      NFC      INTERNET      CHANGE_NETWORK_STATE    com heytap mcs  RECIEVE_MCS_MESSAGE      ACCESS_WIFI_STATE      READ_CONTACTS      WAKE_LOCK      REORDER_TASKS          READ_PHONE_STATE      CHANGE_WIFI_STATE    com coloros mcs  RECIEVE_MCS_MESSAGE      WRITE_SETTINGS      MODIFY_AUDIO_SETTINGS      READ_EXTERNAL_STORAGE      ACCESS_FINE_LOCATION      ACCESS_COARSE_LOCATION      FOREGROUND_SERVICE      WRITE_EXTERNAL_STORAGE      FLASHLIGHT      RECORD_AUDIO    com didi passenger sdk login  broadcast com huaxiaozhu rider com mcu iVMSHD 104013 ['META-INF/LINGMENG.RSA'],black
Google Services Framework com huawei authentication HW_ACCESS_AUTH_SERVICE      UPDATE_APP_OPS_STATS      WRITE_APN_SETTINGS    com google  googleapps  GOOGLE_AUTH blogger    com apusapps launcher  READ_SETTINGS    com google  googleapps  GOOGLE_AUTH cl          BIND_APPWIDGET      INSTALL_PACKAGES      REQUEST_INSTALL_PACKAGES      ACCESS_NETWORK_STATE      KILL_BACKGROUND_PROCESSES      DISABLE_KEYGUARD    com google  googleapps  GOOGLE_AUTH gbase    com samsung svoice sync WRITE_DATABASE    com google  googleapps  GOOGLE_AUTH speechpersonalization    com google  googleapps  GOOGLE_AUTH health    com google  googleapps  GOOGLE_AUTH sierra    com anddoes launcher  READ_SETTINGS          CLEAR_APP_USER_DATA      WRITE_CLIPS      PERSISTENT_ACTIVITY    com google  googleapps  GOOGLE_AUTH wifi    com google  googleapps  GOOGLE_AUTH youtube    com samsung svoice sync ACCESS_SERVICE    com google  googleapps  GOOGLE_AUTH wise    com htc launcher  READ_SETTINGS    com mx launcher  READ_SETTINGS    com google  googleapps  GOOGLE_AUTH groups2      REORDER_TASKS      CHANGE_WIMAX_STATE              MANAGE_ACCOUNTS          ACCESS_COARSE_LOCATION      MOUNT_UNMOUNT_FILESYSTEMS    com google  c2dm  RECEIVE      BLUETOOTH_ADMIN      BATTERY_STATS    com sec  app voicenote Controller      CHANGE_CONFIGURATION      READ_CALENDAR      GET_ACCOUNTS      READ_EXTERNAL_STORAGE      WRITE_SOCIAL_STREAM    com google  googleapps  GOOGLE_AUTH adwords      ACCESS_CACHE_FILESYSTEM    com sec  settings  SOFT_RESET    com google  googleapps  GOOGLE_AUTH finance      DOWNLOAD_WITHOUT_NOTIFICATION    com google  googleapps  GOOGLE_AUTH ah    com google  googleapps  GOOGLE_AUTH local      WRITE_CALENDAR    com google  googleapps  GOOGLE_AUTH sierrasandbox      READ_USER_DICTIONARY      CAMERA      WRITE_CONTACTS    com huawei  launcher  CHANGE_BADGE      READ_LOGS      BIND_DIRECTORY_SEARCH    com google  googleapps  GOOGLE_AUTH dodgeball    com google  googleapps  GOOGLE_AUTH androidsecure      RECEIVE_WAP_PUSH    com google  googleapps  GOOGLE_AUTH mail    com huawei  launcher  READ_SETTINGS    com samsung  providers context  READ_RECORD_AUDIO      SUBSCRIBED_FEEDS_READ    com google  googleapps  GOOGLE_AUTH grandcentral      READ_INSTALL_SESSIONS    com lenovo launcher  READ_SETTINGS          WRITE_EXTERNAL_STORAGE      NFC      WRITE_SETTINGS      WRITE_MEDIA_STORAGE      CHANGE_NETWORK_STATE      WAKE_LOCK      RECORD_AUDIO      WRITE_CALL_LOG    cn nubia launcher  READ_SETTINGS      READ_PHONE_STATE      SEND_SMS    com google  googleapps  GOOGLE_AUTH       READ_CONTACTS          RECEIVE_MMS          RECEIVE_SMS      ACCESS_WIMAX_STATE    com actionlauncher playstore  READ_SETTINGS      TRANSMIT_IR      WRITE_PROFILE      ACCESS_WIFI_STATE    com s launcher  READ_SETTINGS    com google  providers talk  WRITE_ONLY      CALL_PHONE    com google  googleapps  GOOGLE_AUTH knol    com google  googleapps  GOOGLE_AUTH speech      BODY_SENSORS      RESTART_PACKAGES    com google  gms  AD_ID_NOTIFICATION      INTERNET      DEVICE_POWER    com samsung  providers context  WRITE_RECORD_AUDIO    com google  providers gsf  READ_GSERVICES      WRITE_SYNC_SETTINGS    com google  googleapps  GOOGLE_AUTH OTHER_SERVICES      WRITE_SMS      GET_PACKAGE_SIZE      ACCOUNT_MANAGER      ACCESS_MOCK_LOCATION    com google  googleapps  GOOGLE_AUTH print      SUBSCRIBED_FEEDS_WRITE    com oppo launcher  READ_SETTINGS      WRITE_USER_DICTIONARY    com tsf shell  READ_SETTINGS      USE_SIP    com google  googleapps  GOOGLE_AUTH sierraqa      EXPAND_STATUS_BAR    com samsung  scloud backup lib read    com bbk launcher2  READ_SETTINGS    com google  googleapps  GOOGLE_AUTH news    com google  launcher  READ_SETTINGS      SET_WALLPAPER_HINTS      READ_SMS    com google  googleapps  GOOGLE_AUTH YouTubeUser      BLUETOOTH          PROCESS_OUTGOING_CALLS      CHANGE_WIFI_MULTICAST_STATE    com google  googleapps  GOOGLE_AUTH lh2      DELETE_PACKAGES      READ_SOCIAL_STREAM    com google  googleapps  GOOGLE_AUTH cp    com teslacoilsw launcher  READ_SETTINGS          SYSTEM_ALERT_WINDOW    com sec   VOIP_INTERFACE    com samsung svoice sync READ_DATABASE    com samsung  scloud backup lib write      AUTHENTICATE_ACCOUNTS      READ_SYNC_STATS          ACCESS_DOWNLOAD_MANAGER      GET_CLIPS    com google  googleapps  GOOGLE_AUTH talk      SET_TIME_ZONE      VIBRATE      ACCESS_LOCATION_EXTRA_COMMANDS    com asus msa SupplementaryDID ACCESS        com sec   LAUNCH_PERSONAL_PAGE_SERVICE    com google  googleapps  GOOGLE_AUTH orkut      MODIFY_AUDIO_SETTINGS    com google  providers talk  READ_ONLY      READ_OWNER_DATA      READ_CALL_LOG      ACCESS_FINE_LOCATION      CLEAR_APP_CACHE    com google  googleapps  GOOGLE_AUTH jotspot    com google  googleapps  GOOGLE_AUTH sitemaps    sec   READ_MSG_PREF    com google  googleapps  GOOGLE_AUTH mobile      WRITE_OWNER_DATA        com google  googleapps  GOOGLE_AUTH notebook      READ_CLIPS    com google  googleapps  GOOGLE_AUTH    com google  googleapps  GOOGLE_AUTH writely    com google  gms  ACTIVITY_RECOGNITION      PACKAGE_USAGE_STATS      READ_PROFILE      USE_CREDENTIALS      BROADCAST_STICKY    com google  googleapps  GOOGLE_AUTH adsense      READ_SYNC_SETTINGS    com samsung  providers context  WRITE_USE_APP_FEATURE_SURVEY      SET_WALLPAPER      RECEIVE_BOOT_COMPLETED      READ_CELL_BROADCASTS      USE_FINGERPRINT      FLASHLIGHT    com google  googleapps  GOOGLE_AUTH ig      CHANGE_WIFI_STATE com sf tsmotion 104 ['META-INF/KUNGFUGU.RSA'],black
Google Play services ACCESS_NETWORK_STATE    com foodmate gb2760  JPUSH_MESSAGE      MOUNT_UNMOUNT_FILESYSTEMS      ACCESS_WIFI_STATE      WRITE_SETTINGS      READ_PHONE_STATE      VIBRATE      READ_EXTERNAL_STORAGE      INTERNET      BLUETOOTH      RECEIVE_USER_PRESENT      WAKE_LOCK      WRITE_EXTERNAL_STORAGE com zq tutu 21 ['META-INF/CERT.RSA'],black
屏保画册 GET_TASKS      MOUNT_UNMOUNT_FILESYSTEMS      RESTART_PACKAGES      ACCESS_WIFI_STATE      BROADCAST_PACKAGE_ADDED      READ_LOGS    com zhgc hs hgc  PUSH_PROVIDER      WRITE_EXTERNAL_STORAGE      READ_EXTERNAL_STORAGE      INTERNET      BROADCAST_PACKAGE_INSTALL      KILL_BACKGROUND_PROCESSES      CHANGE_WIFI_STATE      GET_PACKAGE_SIZE      READ_PHONE_STATE    com zhgc hs hgc  PROCESS_PUSH_MSG    com huawei appmarket service commondata  GET_COMMON_DATA      CAMERA      WAKE_LOCK      FLASHLIGHT      BROADCAST_PACKAGE_REPLACED      REQUEST_INSTALL_PACKAGES      ACCESS_NETWORK_STATE      DOWNLOAD_WITHOUT_NOTIFICATION      ACCESS_FINE_LOCATION      ACCESS_COARSE_LOCATION    com zhgc hs hgc  MIPUSH_RECEIVE      RECORD_AUDIO      BROADCAST_PACKAGE_CHANGED      SEND_SMS      ACCESS_NOTIFICATION_POLICY      FOREGROUND_SERVICE      VIBRATE      RECEIVE_BOOT_COMPLETED sqjzapp rjsoft com sfjz 280 ['META-INF/CERT.RSA'],black
火影 REQUEST_INSTALL_PACKAGES      MOUNT_UNMOUNT_FILESYSTEMS    freemme  msa      CHANGE_WIFI_STATE    com asus msa SupplementaryDID ACCESS      WRITE_SETTINGS      CALL_PHONE      WAKE_LOCK    com tiangua tg openadsdk  TT_PANGOLIN      INTERNET      ACCESS_WIFI_STATE      READ_PHONE_STATE      WRITE_EXTERNAL_STORAGE      RECEIVE_BOOT_COMPLETED      READ_EXTERNAL_STORAGE      ACCESS_NETWORK_STATE com saf psec 1711222135 ['META-INF/CERT.RSA'],black
御姐 ACCESS_NETWORK_STATE      KILL_BACKGROUND_PROCESSES      INSTALL_PACKAGES      ACCESS_FINE_LOCATION      CHANGE_CONFIGURATION      GET_TASKS      ACCESS_WIFI_STATE      FOREGROUND_SERVICE      WRITE_SETTINGS      SYSTEM_ALERT_WINDOW      READ_PHONE_STATE      READ_EXTERNAL_STORAGE      INTERNET      REQUEST_INSTALL_PACKAGES      WAKE_LOCK      WRITE_EXTERNAL_STORAGE      ACCESS_COARSE_LOCATION com LHMobileAuxiliaryApp sys 11 ['META-INF/ANDROID_.RSA'],black
ハイキュー   WRITE_EXTERNAL_STORAGE      CHANGE_WIFI_STATE      RECORD_AUDIO      ACCESS_WIFI_STATE      ACCESS_NETWORK_STATE      READ_EXTERNAL_STORAGE      FOREGROUND_SERVICE      INTERNET      REQUEST_INSTALL_PACKAGES com foodmate gb2760 1 ['META-INF/CERT.RSA'],black
